ID,J1,J2,J3,J4,J5,J6,J7,Distance,X,Y,Z,Reachable
126,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.966328,6.325,3.94,0.06,0
127,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.976743,6.365,3.94,0.06,0
128,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.988668,6.405,3.94,0.06,0
129,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.00205,6.445,3.94,0.06,0
130,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.01683,6.485,3.94,0.06,0
131,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.965467,6.125,3.9,0.06,0
132,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.967659,6.165,3.9,0.06,0
133,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.971495,6.205,3.9,0.06,0
134,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.976954,6.245,3.9,0.06,0
135,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.984011,6.285,3.9,0.06,1
136,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.99263,6.325,3.9,0.06,0
137,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.00277,6.365,3.9,0.06,0
138,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.01439,6.405,3.9,0.06,0
139,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.02744,6.445,3.9,0.06,0
140,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.04186,6.485,3.9,0.06,0
141,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.993404,6.125,3.86,0.06,0
142,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.995535,6.165,3.86,0.06,0
143,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,0.999263,6.205,3.86,0.06,0
144,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.00457,6.245,3.86,0.06,0
145,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.01144,6.285,3.86,0.06,0
146,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.01982,6.325,3.86,0.06,0
147,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.0297,6.365,3.86,0.06,0
148,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.04102,6.405,3.86,0.06,0
149,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.05373,6.445,3.86,0.06,0
150,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.0678,6.485,3.86,0.06,0
151,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.02214,6.125,3.82,0.06,0
152,1.50832,-2.21543,-0.482172,-2.27597,-1.73184,-0.269237,0.0339623,1.02421,6.165,3.82,0.06,0
